id,term,category,definition,aliases
term.in_principle_approval_ipa,In-Principle Approval (IPA),Other,"Given by banks for a home loan, subject to further conditions.",In-Principle Approval|IPA
term.joint_tenancy,Joint Tenancy,Legal&Docs,"Treats owners as one, with the right of survivorship.",JT
term.jumbo_flat,Jumbo Flat,HDB,A combination of two adjacent flats.,JF
term.land_betterment_charge_lbc,Land Betterment Charge (LBC),Tax&Duty,Paid when a proposed development increases the value of a property.,Land Betterment Charge|LBC
term.land_dealings_approval_unit_ldau,Land Dealings Approval Unit (LDAU),Agency&Authority,Approval required for foreigners to buy landed property.,LDAU (Land Dealings Approval Unit)|Land Dealings Approval Unit|LDAU
term.lasting_power_of_attorney_lpa,Lasting Power of Attorney (LPA),Legal&Docs,A legal instrument indicating trusted individuals to act on behalf of someone losing mental capacity.,LPA (Lasting Power of Attorney)|Lasting Power of Attorney|LPA
term.letter_of_intent_loi,Letter of Intent (LOI),Legal&Docs,"A written offer made by a tenant to a landlord, dealing with terms of tenancy such as rent, duration, and commencement date.",Letter of Intent|LOI|LI
term.letter_of_offer,Letter of Offer,Other,Given by banks when they approve a loan.,LO
term.leasehold,Leasehold,Tenure,A tenure held by a lessee under a lease.,
term.loan_to_value_ltv,Loan-to-Value (LTV),Finance&Rates,"Applicable to all property purchases, allowing borrowers to borrow up to a certain percentage of a property’s value.",LTV (Loan-to-Value)|Loan-to-Value|LTV|LV
term.maisonette,Maisonette,HDB,"2-storied buildings consisting of bedrooms, wardrobes, kitchens, and bathrooms, similar to flats on two floors.",
term.minimum_occupation_period_mop,Minimum Occupation Period (MOP),HDB,The length of time a buyer of an HDB flat must stay in it before putting it up for resale. MSR (Mortgage Servicing Ratio) Rules: Applicable to HDB and EC purchases. All property loans capped at 30% of a borrower’s monthly income.,Minimum Occupation Period|MOP
term.neg_negotiable,Neg (Negotiable),Other,"Tenants often negotiate property transactions based on their budget, with landlords negotiating with different parties.",Neg|Negotiable|NN
term.option_to_purchase_otp,Option to Purchase (OTP),Legal&Docs,"A legally binding contract between sellers and buyers, protecting both parties.",Option to Purchase|OTP|OP
term.per_square_foot_psf,Per Square Foot (PSF),MarketMetric,"A unit used to measure the area of a property, often used to denote the total price in square feet.",Per Square Foot|PSF
term.pest_control,Pest Control,Maintenance,"Services and aid provided to homeowners or renters to protect houses from insects, often using the latest techniques for eradication.",PC
term.price_per_square_foot_psf,Price per Square Foot (PSF),MarketMetric,The price of the property divided by the land area.,Price per Square Foot|PSF
term.proof_of_immigration_status,Proof of Immigration Status,Other,"Documents, including birth certificate, passport, green card, employment letters, and certificates by registered companies, required to certify a tenant as a legal citizen of Singapore.",PIS
term.private_apartment,Private Apartment,PropertyType,Units in a non-public development with fewer communal facilities than a condominium.,PA
term.property_tenure,Property Tenure,HDB,"States the time during which the owner of the property has the legal right of use, with HDB flats usually having tenures of 99 years.",PT
term.real_estate_salesperson_res,Real Estate Salesperson (RES),Agency&Authority,"The official term for property agents, realtors, and brokers in Singapore, set by the Council for Estate Agencies (CEA).",Real Estate Salesperson|RES
term.refinance_repricing,Refinance/Repricing,Finance&Rates,The process of restructuring an existing mortgage.,RR|Refinance|Repricing
term.resale,Resale,Other,Refers to pre-owned and pre-loved properties that are on sale again.,
term.restricted_non_restricted_property,Restricted / Non-restricted Property,Other,Property where the purchase needs / needs not obtain approval from the relevant authority.,RNP|Restricted|Non-restricted Property
term.sale_and_purchase_agreement_s_p,Sale and Purchase Agreement (S&P),Legal&Docs,Utilized in private property transactions.,Sale and Purchase Agreement|S&P|SPA
term.seller_stamp_duty_ssd,Seller Stamp Duty (SSD),Tax&Duty,"Paid when selling a property within three years, with varying rates for residential and industrial properties.",Seller Stamp Duty|SSD
term.semi,Semi,PropertyType,"Two houses joined together by a common wall, a good option for those seeking company and friendly relations with neighbors.",
term.singapore_interbank_offered_rate_sibor,Singapore Interbank Offered Rate (SIBOR),Finance&Rates,"The rate at which banks lend/borrow funds from each other, commonly used as a benchmark to price home loans.",SIBOR (Singapore Interbank Offered Rate)|Singapore Interbank Offered Rate|SIBOR|SIOR
term.singapore_land_authority_sla,Singapore Land Authority (SLA),Agency&Authority,A statutory board holding Singapore’s land information database and developing and marketing state properties.,Singapore Land Authority|SLA
term.stamp_duty,Stamp Duty,Tax&Duty,"Fees chargeable by the government upon a successful property transaction, currently set at 3% of the purchase price.",SD
term.strata,Strata,Other,"Sharing of common areas in a multi-level apartment block by some apartments, denoted by a title associated with townhouses, units, and blocks of flats.",
term.strata_title,Strata Title,Other,"A title to a unit or lot on a plan of subdivision associated with townhouses, units, and blocks of flats, based on the horizontal and vertical subdivision of air space.",ST
term.straits,Straits,Other,"Popularly known as the Chinese doll’s house, it consists of shops on the ground floor and residential apartments above, often stretching up to three storeys.",
term.swap_offer_rate_sor,Swap Offer Rate (SOR),Finance&Rates,"Another benchmark rate used to price home loans, considering exchange rates.",Swap Offer Rate|SOR
term.total_debt_servicing_ratio_tdsr,Total Debt Servicing Ratio (TDSR),HDB,"Applicable to non-HDB/new EC purchases, capping all loans at 55% of a borrower’s monthly income.",TDSR (Total Debt Servicing Ratio)|Total Debt Servicing Ratio|TDSR
term.temporary_occupation_permit_top,Temporary Occupation Permit (TOP),Legal&Docs,"Granted by the Commissioner of Building Control upon completion of a construction project, allowing occupancy.",Temporary Occupation Permit|TOP
term.terrace_house,Terrace House,PropertyType,"A row of linked houses, often with gardens.",TH
term.tdsr_limits_on_loans_and_incomes,TDSR Limits on Loans and Incomes,Finance&Rates,"Tied in with loan tenure, LTV limits, borrower’s age, existing housing loans, property type, and person/company status.",TDSR|LLI
term.tenancy_agreement,Tenancy Agreement,Legal&Docs,"An agreement bearing the names of the landlord and tenant, outlining various deal facets such as the rented area, down payment, annual rent, agreement period, and other conditions.",TA
term.tenancy_in_common,Tenancy-in-Common,Legal&Docs,"Ownership where owners are seen as separate, each able to pass their share to others.",TC
term.town_house,Town House,PropertyType,A row of residential properties with common land ownership.,TH
term.urban_redevelopment_authority_ura,Urban Redevelopment Authority (URA),Agency&Authority,"The national land use planning authority of Singapore, dealing with long-term strategic plans, local area plans, and coordination to bring these plans to reality.",URA (Urban Redevelopment Authority)|Urban Redevelopment Authority|URA
term.valuation_fee,Valuation Fee,Process,"The fee paid for the valuation of a property, determining the market value for calculating the maximum loan amount.",VF
term.view_to_offer_vto,View to Offer (VTO),Other,Indicates that the seller has not set a selling price and will entertain offers from prospective buyers.,View to Offer|VTO|VO
term.walk_up_apartment,Walk-Up Apartment,PropertyType,"An apartment in a building of five floors or fewer, where upper-floor access is only available by staircase.",WUA
term.buyer_s_stamp_duty_bsd,Buyer's Stamp Duty (BSD),Tax&Duty,"Tax levied on property purchases in Singapore, with rates ranging from 1-4% based on property value.",BSD (Buyer's Stamp Duty)|Buyer's Stamp Duty|BSD
term.core_central_region_ccr,Core Central Region (CCR),Region,"Prime areas comprising luxury neighborhoods such as Orchard, Bukit Timah, and Marina Bay.",CCR (Core Central Region)|Core Central Region|CCR
term.rest_of_central_region_rcr,Rest of Central Region (RCR),Region,Area surrounding the CCR with mixed housing at moderate prices.,RCR (Rest of Central Region)|Rest of Central Region|RCR
term.outside_central_region_ocr,Outside Central Region (OCR),Region,Suburban areas with more affordable housing options.,OCR (Outside Central Region)|Outside Central Region|OCR
term.mortgage_servicing_ratio_msr,Mortgage Servicing Ratio (MSR),HDB,"Caps property loans at 30% of monthly income for HDB and EC purchases. Property Types and Classifications 2+1 / 4+1 System In Singapore real estate listings, this numbering system indicates the number of bedrooms plus a domestic helper's room. For example, ""2+1"" means 2 bedrooms plus a helper's room, while ""4+1"" denotes 4 bedrooms plus a helper's room[8]. Air Con or A/C Refers to air conditioning, a standard feature in Singapore properties due to the tropical climate. Often specified in property listings with details about the number of units or type of system[8]. Black and White Houses Houses in Singapore with a history dating back centuries, representing the traditional bungalow-style residences that provide insights into the city's colonial past. Made famous due to Ridout issue in Singapore. These striking government-owned historical bungalows with colonial roots are heritage protected and available for foreigners to rent via an auction process. BR (Bedroom) Abbreviation commonly used in property listings to indicate the number of bedrooms in a property. B/S (Bomb Shelter) A mandatory feature in newer HDB flats and some private properties, designed as a reinforced space that can be used as storage or utility room during normal times. BTO (Build-To-Order) A category of newly constructed flats by the Housing and Development Board (HDB), where construction begins only when a certain percentage of units have been booked by eligible buyers. Also the term made famous by ""Wanna to BTO Together ?"" Bungalow Expensive properties in Singapore, often spanning 2 to 3 stories, undergoing renovations to meet evolving needs and preferences. These standalone houses typically sit on larger land plots and represent the most exclusive form of landed property in Singapore. Cluster House A hybrid property type that combines the privacy and space of landed property with the convenience of condominium facilities. Cluster housing developments feature landed properties (bungalows, semi-detached or terrace houses) with shared amenities like pools, playgrounds, and gyms. These strata-titled landed properties are located within gated communities. Community Care Apartment Senior-friendly housing with specific amenities designed to support aging in place, including healthcare services and communal facilities. Condo (Condominium) A housing type where a portion of real estate is individually owned, with access to shared facilities. In Singapore and Malaysia, condos specifically refer to residential buildings with luxury facilities such as security guards, swimming pools, or tennis courts. Condominium Complex Refers to the entire development comprising individually owned residential units and shared facilities such as swimming pools, gyms, and security services[5]. Corner Terrace House A terrace house located at the end of a row, typically offering more land area and windows on three sides instead of just the front and back. Cul-de-sac House A property located on a dead-end street that typically forms a circular area for turning around. These properties often command premium prices due to reduced traffic and increased privacy. Executive Condominium (EC) A public-private housing hybrid introduced in the 1990s, physically resembling private condominiums in style and facilities. ECs are aimed at the ""sandwich class"" - households with higher incomes that don't qualify for public housing but find private property too expensive. They follow public housing regulations including a 5-year Minimum Occupation Period (MOP) before resale, and after 10 years transform into private condominiums that can be sold on the open market to foreigners. Read more about ECs on PatkoProperty. Executive Flat An HDB flat with distinctive features, including 3 bedrooms, generally larger than standard HDB units and often featuring additional amenities. HDB (Housing & Development Board) The public housing authority in Singapore tasked with planning and developing housing estates. HDB flats house over 80% of Singapore's resident population. Heartlands Areas where the majority of Singaporeans, especially the middle and working classes, reside, often located in HDB estates outside the central business district. Jumbo Flat A combination of two adjacent flats, typically created by combining a 3-room and a 4-room flat, resulting in a significantly larger living space. Land-titled Property Property that sits within its own land boundaries, as opposed to strata-titled properties. Level 1 In Singapore, this refers to the ground floor of a building. The numbering system starts with 1 rather than 0 or G as in some other countries. Maisonette Two-story buildings comprising bedrooms, wardrobes, kitchens, and bathrooms, similar to flats on two floors. These were built by HDB primarily in the 1980s and 1990s. In private properties, maisonettes typically have bedrooms and main bathroom upstairs. Prime Residential Districts (District 9, 10, and 11) Formerly prominent residential areas for expatriates, no longer in official use but recognized for luxury properties. District 9 includes Orchard Road and Cairnhill, District 10 covers Bukit Timah and Holland, and District 11 encompasses Thomson and Newton. Hot developments here include Watten House and 32 Gilstead. Private Apartment Units in a non-public development with fewer communal facilities than a condominium, typically in buildings with less than 50 units. Semi-Detached House (Semi or Semi-D) Two houses connected by a common wall, a suitable option for those seeking camaraderie and amicable relations with neighbors. Shophouse Property that used to be a traditional shop selling spices or trading goods with residential space above. Many of these properties are now on conservation lists, representing important cultural heritage. They typically feature distinctive architectural elements including five-foot ways (covered walkways). Shophouses are now a huge importance of the asset progression. State-titled Property An apartment in a building where some areas are common or shared among residents. Straits Architecture Commonly known as the Chinese doll's house, it comprises shops on the ground floor and residential apartments above, often spanning up to three storeys. These shophouses are culturally significant in Singapore's architectural heritage. Terrace House (Terr) A row of linked houses, often featuring gardens. These landed properties share walls with neighboring units on both sides, except for corner units. Walk-Up Apartment Apartments in a building with five floors or fewer, where upper-floor access is available solely by staircase, without elevators. Geographic and Market Regions Core Central Region (CCR) Prime areas comprising luxury neighborhoods such as Orchard, Bukit Timah, and Marina Bay. The CCR is synonymous with high-end living and investment properties, particularly attractive to affluent buyers. Read about the 3 Regions in Singapore. Rest of Central Region (RCR) The area surrounding the CCR, featuring a mix of private and public housing at more moderate price points than the CCR. Outside Central Region (OCR) Suburban areas of Singapore outside the central regions, typically featuring more affordable housing options while still maintaining good connectivity to the city center. Ownership Types and Regulations Agreement of Sale The basic contract of sale and purchase between a willing seller and buyer. No matter what the parties have agreed to verbally, no contract exists until an agreement of sale is completed and signed by both parties[8]. Bankruptcy Search A search conducted by conveyancers to verify whether a buyer or borrower has been, is, or is on the verge of being declared bankrupt[1]. Certificate of Statutory Completion (CSC) Issued by the building authority, indicating legal completion of a building after obtaining the Temporary Occupation Permit. Decoupling Selling shares of a property to a single owner to acquire additional properties without incurring ABSD, a strategy used by married couples to optimize property ownership. Diplomatic Clause Allows a tenant to terminate the tenancy with advance notice only after the initial twelve months, with a written notice period or payment of rent in lieu. Very useful and important for expats. Very important when you do rental for ""Ang Mo"". En-bloc Sale Collective sales of individual units in a private residential or commercial building, often fetching a higher price than market value. This requires a minimum consensus among owners (80-90% depending on the property's age)[1]. Fixtures Personal property attached to the real estate, such as escalators, that becomes part of the property legally[1]. Freehold Tenure A form of land ownership where an estate is held indefinitely. There are not many freehold properties for sale in Singapore, making them generally more valuable. Joint Tenancy Treats owners as a single entity, with the right of survivorship. If one owner passes away, their share automatically transfers to the surviving owner(s)[1]. LDAU (Land Dealings Approval Unit) Approval required for foreigners to purchase landed property. Especially important in Sentosa too[1]. Lease Period A fixed time frame for which a lease agreement is in force. This is usually two or three years at an agreed rental rate and often comes with an option to renew for a further term[4]. Leasehold A tenure held by a lessee under a lease agreement. In Singapore, houses are sold in 99 years or 999 years leasehold terms. Most HDB flats are on 99-year leases[1]. Minimum Occupation Period (MOP) The duration a buyer of an HDB flat must reside in it before putting it up for resale. One of the most favourite topic about what you can or cannot do in MOP. Restricted / Non-restricted Property Property requiring or not requiring approval from the relevant authority for purchase, particularly relevant for foreign buyers[1]. Strata Ownership The sharing of common areas in a multi-level apartment block by some units, denoted by a title associated with townhouses, units, and blocks of flats[1]. Strata Title A title to a unit or lot on a plan of subdivision associated with townhouses, units, and blocks of flats, based on the horizontal and vertical subdivision of airspace[1]. Tenancy-in-Common Ownership Ownership where individuals are considered separate entities, each capable of passing their share to others according to their will[1]. Temporary Occupation Permit (TOP) Granted by the Commissioner of Building Control upon the completion of a construction project, allowing for occupancy before the issuance of the CSC[1]. Government Schemes and Programs Design, Build and Sell Scheme (DBSS) A housing program where private developers build and sell public housing units with design features similar to private condominiums[5]. Fresh Start Housing Scheme A program providing second-timer families with children living in public rental flats the opportunity to receive grants for a new standard 2-room Flexi or standard 3-room flat on a shorter lease. Budget 2025 increased the grant amount from S$50,000 to S$75,000. GLS (Government Land Sales) GLS Programme is where the Government sells usable state land to developers through a bidding process. This is the main way in which the government releases land for residential use and is always 99-years lease[1]. HDB Conversion Scheme A program allowing owners of adjoining HDB flats to legally combine them into a single, larger unit subject to specific conditions[5]. HDB Fire Insurance Scheme A mandatory insurance scheme for all HDB flat owners to protect against fire damage to the internal structures, fixtures, and areas built by HDB[5]. HDB Flat Eligibility (HFE) Letter A document issued by HDB confirming an applicant's eligibility to purchase a new or resale HDB flat[5]. HDB Intent to Buy (ITB) A declaration by prospective buyers of their intention to purchase an HDB flat, usually submitted through HDB's online portal[5]. Home Improvement Program (HIP) A government initiative to upgrade older HDB flats, addressing common maintenance issues and improving living conditions[5]. Joint Singles Scheme (JSS) A scheme allowing two or more single Singapore citizens to jointly purchase an HDB resale flat[5]. Joint Singles Scheme Operator-Run (JSS-OR) An extension of the Joint Singles Scheme with specific operational guidelines for singles co-purchasing HDB flats[5]. Sale of Balance Flats (SBF) Unsold flats from previous HDB launches offered to eligible buyers, providing additional opportunities to secure public housing[5]. Staggered Downpayment Scheme A payment option allowing eligible HDB flat buyers to make their downpayment in two installments instead of one lump sum[5]. Financial and Tax Terms ABSD (Additional Buyer's Stamp Duty) A tax imposed on property owners in Singapore when acquiring additional properties, paid on top of the Buyer's Stamp Duty. Foreigners pay different rates from Permanent Residents who pay different rates from Singaporeans. Addendum A supplementary agreement to an original sales contract covering points agreed to thereafter. It is a separate agreement in its own right and, if it contradicts the original in any way, it is presumed to overrule it[8]. Amortization and Amortization Schedule Repayment of the loan principal from scheduled mortgage payments above the interest paid. An amortization schedule is a table showing all monthly mortgage payments broken down by interest and amortization, with the remaining loan balance[2]. Annual Percentage Rate (APR) The yearly rate charged for borrowing, expressed as a percentage that represents the actual yearly cost of funds over the term of a loan[5]. Annual Value The estimated annual rental income a property would generate if rented out, used to calculate property tax. Tax rates are progressive, with higher-valued properties subject to higher tax rates. Appraisal (or Valuation) The process of determining the market value of a property, typically required by banks when issuing mortgage loans[2]. Approval-in-principle / In-principle approval (IPA) Granted by banks for a home loan, subject to additional conditions. This preliminary approval indicates how much you can borrow[1][5]. Bridge Loan A short-term loan used to bridge the gap between the sale of one property and the purchase of another[2]. Buyer's Stamp Duty (BSD) Rates",MSR (Mortgage Servicing Ratio)|Mortgage Servicing Ratio|MSR
term.a_fiduciary_in_singapore,a fiduciary in Singapore,Other,"A fiduciary is a person who has a legal obligation to another person, also known as the beneficiary, due to a relationship built on trust and confidence. This relationship typically involves the following elements:  Source: Fiduciaries and fiduciary law in Singapore  https://www.99.co/singapore/glossary/fiduciaries-and-fiduciary-law-in-singapore/  (index: Fiduciaries and fiduciary law in Singapore)",What is a fiduciary in Singapore?
term.who_is_a_fiduciary_in_singapore,Who is a fiduciary in Singapore,Other,These are the various types of fiduciaries and the individuals to whom they owe fiduciary obligations: • Trustees have fiduciary duties to the beneficiaries. • Directors owe fiduciary duties to the company. • Agents have fiduciary duties to the principal. • Lawyers have fiduciary duties to their clients. • High-ranking employees owe fiduciary duties to their employers.  Source: Fiduciaries and fiduciary law in Singapore  https://www.99.co/singapore/glossary/fiduciaries-and-fiduciary-law-in-singapore/  (index: Fiduciaries and fiduciary law in Singapore),WS
term.what_duties_does_a_fiduciary_fulfil,What duties does a fiduciary fulfil,Other,Fiduciaries are typically obligated to adhere to the following duties:  Source: Fiduciaries and fiduciary law in Singapore  https://www.99.co/singapore/glossary/fiduciaries-and-fiduciary-law-in-singapore/  (index: Fiduciaries and fiduciary law in Singapore),
term.exceptions_to_a_fiduciary_s_duty_in_singapore,exceptions to a fiduciary’s duty in Singapore,Other,"• Generally, the beneficiary to whom the fiduciary owes the duty can waive it. As such, the fiduciary may be released from the duty with the beneficiary’s consent. • Additionally, in the case of a company-director relationship, the company may ratify certain actions of the director that would otherwise constitute a breach of fiduciary duty.  Source: Fiduciaries and fiduciary law in Singapore  https://www.99.co/singapore/glossary/fiduciaries-and-fiduciary-law-in-singapore/  (index: Fiduciaries and fiduciary law in Singapore)",What are the exceptions to a fiduciary’s duty in Singapore?
term.what_happens_if_a_fiduciary_fails_to_fulfil_their_duty,What happens if a fiduciary fails to fulfil their duty,Other,"When a fiduciary duty is breached, the beneficiary can take legal action against them. To succeed in a lawsuit, the beneficiary must provide evidence that a fiduciary duty existed, was violated, and resulted in harm. The beneficiary may seek monetary compensation for lost profits, income, or property losses. In addition to damages, the Singapore Courts offer other remedies for breaching a fiduciary duty, including: • Cancelling a contract that involved the breach of fiduciary duty. • Requiring the fiduciary to provide fair compensation to the beneficiary. • Requiring the fiduciary to account for any profits gained from the breach. • Transferring ownership of property from the fiduciary to the beneficiary. • Obtaining court orders to prevent the fiduciary from further breaches.  Source: Fiduciaries and fiduciary law in Singapore  https://www.99.co/singapore/glossary/fiduciaries-and-fiduciary-law-in-singapore/  (index: Fiduciaries and fiduciary law in Singapore)",
term.a_mortgage,a mortgage,HDB,"Simply put, a mortgage is a loan you take to purchase land or property. These loans typically span a period of 25 years, though the term can be shorter or longer depending on your preferences and circumstances. The catch is that the loan is ‘secured’ by the value of your home until it’s fully paid off. In other words, if you’re unable to keep up with the repayments, the lender has the legal right to reclaim your home and sell it to recoup their money. In the context of Singapore, mortgages are primarily provided by banks, and for HDB flats, the Housing and Development Board (HDB). The nuances such as terms and conditions, interest rates, and repayment schedules can be quite diverse among different mortgage providers.  Source: Mortgage in Singapore  https://www.99.co/singapore/glossary/understanding-mortgage-in-singapore/  (index: Mortgage in Singapore)",What is a mortgage?
term.factors_influencing_mortgage_and_the_application_process,Factors influencing mortgage and the application process,Finance&Rates,"A myriad of factors come into play in the mortgage process and in shaping the terms of the mortgage. These include your income and credit history, the value of the property in question, the size of the down payment, and the prevailing market conditions. Applying for a mortgage isn’t a spontaneous act—it involves several steps. First off, you’ll need to evaluate your financial standing to determine what you can afford. Then, it’s time to shop around and compare different mortgage options to find the one that resonates with your needs. Once you’ve settled on a mortgage, you’ll need to apply for it. This typically involves providing your financial information and undergoing a credit check.  Source: Mortgage in Singapore  https://www.99.co/singapore/glossary/understanding-mortgage-in-singapore/  (index: Mortgage in Singapore)",
term.comparing_mortgage_with_other_real_estate_terms,Comparing mortgage with other real estate terms,Finance&Rates,"Mortgages are often juxtaposed with other real estate terms such as loans and deeds. While a loan is a generic term for borrowed money, a mortgage refers to a loan specifically earmarked for real estate. Conversely, a deed is a legal document denoting property.  Source: Mortgage in Singapore  https://www.99.co/singapore/glossary/understanding-mortgage-in-singapore/  (index: Mortgage in Singapore)",
term.advantages_and_disadvantages_of_mortgage,Advantages and disadvantages of mortgage,Finance&Rates,"The primary advantage of a mortgage is that it empowers individuals to become homeowners without the need to pay the full price upfront. This opens up homeownership to a wider audience who might otherwise be unable to afford it. However, mortgages come with their fair share of pitfalls. They represent long-term financial obligations that can become challenging to manage if your financial situation takes a turn for the worse. Moreover, they entail interest payments, which can accumulate into a significant sum over the loan’s lifespan.  Source: Mortgage in Singapore  https://www.99.co/singapore/glossary/understanding-mortgage-in-singapore/  (index: Mortgage in Singapore)",
term.types_of_mortgages,Types of mortgages,HDB,"Singapore offers a variety of mortgage options. These include fixed-rate mortgages, where the interest rate remains constant for a specified period, and variable-rate mortgages, where the interest rate is subject to change. HDB loans also feature in the mix, but these are exclusive to HDB flats and have terms and conditions that differ from bank loans. [HEADING-H3] Conclusion To wrap it up, securing a mortgage is a profound financial decision that demands careful thought. It’s crucial to fully comprehend the terms of your mortgage and ensure it aligns with your financial roadmap.  Source: Mortgage in Singapore  https://www.99.co/singapore/glossary/understanding-mortgage-in-singapore/  (index: Mortgage in Singapore)",
term.how_to_check_if_you_are_registered_as_an_occupant_in_an_hdb_flat,How to check if you are registered as an occupant in an HDB flat,HDB,"Properly registering your name in HDB’s official records is essential if you live in an HDB flat in Singapore. Maintaining clear and legal standing in tenancy matters requires being registered as an occupant. Luckily, HDB provides a straightforward procedure to confirm this via their online platform. Follow these steps to determine if your name has been listed as a registered tenant.  Source: HDB flat occupant  https://www.99.co/singapore/glossary/hdb-flat-occupant/  (index: HDB flat occupant)",HDB
term.step_1_access_my_hdbpage,Step 1: Access My HDBPage,HDB,"To check your registration status, start by logging into My HDBPage, the online portal offered by the Housing &amp; Development Board. This platform enables both flat owners and tenants to conveniently handle various HDB-related tasks, such as managing tenancy agreements and rental records. To log in to My HDBPage, visit the official HDB website (www.hdb.gov.sg) and use your SingPass details. SingPass serves as Singapore’s digital identity system, granting secure access to a range of government services. If you don’t have a SingPass account, you can register for one on the SingPass website. After logging in, you will access personalised information about your HDB transactions and registrations.  Source: HDB flat occupant  https://www.99.co/singapore/glossary/hdb-flat-occupant/  (index: HDB flat occupant)",SAMH
